source,source_id,paper_id,type,domain,candidate_score,question_text,equation,correct_answer,fave_annotation_status,notes
WirelessMATHBench-XL,7422,2508.08225v1,fill_blank_50,,14,Fill in the missing signal-to-noise ratio parameter and the summation term that accounts for multi-user interference.,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - \cfrac{K}{B_c T_c}\right) \cdot \log_2 \left(1 + \cfrac{(M - K) \cdot \mathrm{SNR}}{\min\limits_k \cfrac{1}{\gamma_k} + [MASK] \cdot \left([MASK] - 1\right)} \right)$$,\boxed{\mathrm{SNR}} and \boxed{\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7421,2508.08225v1,fill_blank_25,,13,What term representing the channel estimation error impact is missing from the SINR denominator?,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - \cfrac{K}{B_c T_c}\right) \cdot \log_2 \left(1 + \cfrac{(M - K) \cdot \mathrm{SNR}}{[MASK] + \mathrm{SNR} \cdot \left(\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k} - 1\right)} \right)$$,\boxed{\min\limits_k \cfrac{1}{\gamma_k}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1152,2406.04188v2,fill_blank_50,,13,Fill in the numerator (desired signal power) and the interference term.,$$\mathsf{SE}_k = \log \left(1 + \frac{ [MASK] }{ \sum_{u \neq k} [MASK] + \sigma_k^2 } \right)$$,\boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2} and \boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7423,2508.08225v1,fill_blank_75,,12,Complete the pilot overhead fraction and the parameters related to antenna advantage and signal quality.,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - [MASK]\right) \cdot \log_2 \left(1 + \cfrac{([MASK] - K) \cdot [MASK]}{\min\limits_k \cfrac{1}{\gamma_k} + \mathrm{SNR} \cdot \left(\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k} - 1\right)} \right)$$,"\boxed{\cfrac{K}{B_c T_c}}}, \boxed{M}}, and \boxed{\mathrm{SNR}}}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,2147,2503.17805v1,fill_blank_50,,12,Fill in the two missing interference covariance terms in the denominator.,"$$\gamma_{\mathrm{s}l}(\mathbf{J}, \boldsymbol{\varphi}_l) = \dfrac{ \bar{\alpha} \boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}l} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}l}^\mathsf{H} \boldsymbol{\varphi}_l }{ \bar{\alpha} \sum_{\jmath \in \mathcal{L} \backslash \{l\}} [MASK] + [MASK] + \Vert \boldsymbol{\varphi}_l \Vert^2 }$$",\boxed{\boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}\jmath} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}\jmath}^\mathsf{H} \boldsymbol{\varphi}_l} and \boxed{\boldsymbol{\varphi}_l^\mathsf{H} \mathbf{G} \boldsymbol{\Sigma} \mathbf{G}^\mathsf{H} \boldsymbol{\varphi}_l},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,16222,2204.09447v1,fill_blank_50,,12,Fill in the channel power gain variable and the complete denominator of the SNR fraction.,$$D_k^u = \frac{n_k}{B_k^u \log_2\left(1 + \frac{\varphi(\mathrm{BER}_k) [MASK] p_k^u}{[MASK]}\right)}$$,\boxed{h_k^u} and \boxed{N_0 B_k^u},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1151,2406.04188v2,fill_blank_25,,12,What term represents the total interference power from other users?,$$\mathsf{SE}_k = \log \left(1 + \frac{ \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2 }{ [MASK] + \sigma_k^2 } \right)$$,\boxed{\sum_{u \neq k} \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7991,2206.03108v1,fill_blank_25,,11,What probability term weights the blocked (NLoS) path loss component?,"$$S(y) = \frac{P_M G_{M,B} G_{M,U} \left[ y^{-\zeta_{M,1}} [1 - p_B(y)] + y^{-\zeta_{M,2}} [MASK] \right]}{A_M (N_0 B_M + M_{M,I})}$$",\boxed{p_B(y)},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7762,2504.20425v1,fill_blank_50,,11,Fill in the two signal power terms inside the numerator's parentheses.,$$\mathcal{R}_d^i = B \log_2 \left( 1 + \dfrac{e^{-E} \omega_0 \left( [MASK] + [MASK] \right) }{(d_{su}^i d_{du}^i)^{\alpha} \tilde{\sigma}_d^i} \right)$$,\boxed{\zeta_i^4 \eta^i \omega_0 P_s} and \boxed{\zeta_i^2 \bar{P}_u (d_{su}^i)^{\alpha}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7652,2311.08840v1,fill_blank_50,,11,What is the composite effective channel from the BS to user $k$?,"$$\mathrm{SINR}_{k} = \frac{ | [MASK] \mathbf{w}_{k} |^{2} }{ \sum_{i=1, i\neq k}^{K} | [MASK] \mathbf{w}_{i} |^{2} + \sigma_{k}^{2} }$$","\boxed{\mathbf{h}_{2,k} \pmb{\Phi} \mathbf{H}_{1}} (to be used in both blanks)",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
